clipped_smiles	ID
Cc1ccc(C)c(SCC([15CH3])=O)c1	EN300-00008
[15CH3]C(=O)CSc1cc(Cl)ccc1Cl	EN300-00009
[15CH3]C(=O)COc1ccccc1F	EN300-00014
[15CH3]C(=O)COc1cccc(Br)c1	EN300-00015
Cc1cccc(OCC([15CH3])=O)c1	EN300-00017
[15CH3]C(=O)c1cccc(OC(F)F)c1	EN300-00032
[15CH3]C(=O)c1ccc(OC(F)F)cc1	EN300-00033
Cc1cccc(OCCC([15CH3])=O)c1	EN300-00043
Cc1ccc(OCCC([15CH3])=O)cc1	EN300-00044
Cc1ccc(SCCC([15CH3])=O)cc1	EN300-00047
[15CH3]C(=O)CCSc1ccccc1Cl	EN300-00048
[15CH3]C(=O)CCSc1ccccc1	EN300-00053
[15CH3]C(=O)COc1ccccc1O	EN300-00063
Cc1cc(C)cc(OCC([15CH3])=O)c1	EN300-00070
COc1ccccc1OCC([15CH3])=O	EN300-00072
[15CH3]C(=O)COc1cccc(F)c1	EN300-00073
[15CH3]C(=O)CCSc1ccc(Cl)cc1	EN300-00076
Cc1ccccc1OCCC([15CH3])=O	EN300-00080
[15CH3]C(=O)CC12CC3CC(CC(C3)C1)C2	EN300-00083
[15CH3]C(=O)CCC(=O)c1cccs1	EN300-00085
[15CH3]C(=O)COc1ccc(C#N)cc1	EN300-00087
[15CH3]C(=O)CNC(=O)c1ccccc1F	EN300-00090
[15CH3]C(=O)COc1ccccc1C#N	EN300-00096
[15CH3]C(=O)CNC(=O)c1ccccc1Cl	EN300-00101
[15CH3]C(=O)CCOc1ccccc1F	EN300-00103
CCc1ccccc1OCC([15CH3])=O	EN300-00107
Cc1cc(OCC([15CH3])=O)ccc1Cl	EN300-00114
Cc1ccc(C)c(OCCC([15CH3])=O)c1	EN300-00123
[15CH3]C(=O)c1ccc2c(c1)OCCO2	EN300-00127
[15CH3]C(=O)C1COc2ccccc2O1	EN300-00140
[15CH3]C(=O)CNC(=O)c1cccc(Cl)c1	EN300-00155
Cc1ccc(NCC([15CH3])=O)cc1	EN300-00158
[15CH3]C(=O)CNC(=O)C1CCCCC1	EN300-00169
[15CH3]C(=O)CNC(=O)c1cccs1	EN300-00171
[15CH3]C(=O)CNC(=O)c1cccc(F)c1	EN300-00173
[15CH3]C(=O)CNC(=O)c1ccc(Cl)cc1	EN300-00184
[15CH3]C(=O)CNC(=O)c1ccc(F)cc1	EN300-00196
[15CH3]C(=O)c1ccccc1NCCO	EN300-00207
CC(NC(N)=O)C([15CH3])=O	EN300-00271
CNS(=O)(=O)c1cccc(C([15CH3])=O)c1	EN300-00533
[15CH3]C(=O)CC1NCCc2ccccc21	EN300-00696
[15CH3]C(=O)C1Cc2ccccc2CN1	EN300-00698
[15CH3]C(=O)c1c(Cl)nc2sccn12	EN300-00708
[15CH3]C(=O)c1ccc(Cl)s1	EN300-00711
[15CH3]C(=O)c1ccc(Br)s1	EN300-00712
[15CH3]C(=O)c1cc2c(s1)CCC2	EN300-00715
[15CH3]C(=O)c1n[nH]c(=O)c2ccccc12	EN300-00787
[15CH3]C(=O)Cn1nnc2ccccc21	EN300-00788
Cc1nc2ccccc2n1CC([15CH3])=O	EN300-00790
[15CH3]C(=O)c1sc2cc(F)ccc2c1Cl	EN300-00805
[15CH3]C(=O)c1cc(O)nc(O)c1	EN300-00809
[15CH3]C(=O)Cn1cnc2ccccc21	EN300-00814
[15CH3]C(=O)CCc1nc2ccccc2s1	EN300-00819
[15CH3]C(=O)c1sc2ccccc2c1Cl	EN300-00824
[15CH3]C(=O)c1cc(O)nc2ccccc12	EN300-00825
[15CH3]C(=O)c1cc2c(s1)CCCCC2	EN300-00826
[15CH3]C(=O)c1cn2ccccc2n1	EN300-00834
[15CH3]C(=O)c1sc2cc(Cl)ccc2c1Cl	EN300-00845
[15CH3]C(=O)c1csc2c1CCCC2	EN300-00863
CC1CCc2c(C([15CH3])=O)csc2C1	EN300-00864
[15CH3]C(=O)Cc1cn2ccsc2n1	EN300-00869
[15CH3]C(=O)c1cc(Cl)ccn1	EN300-00872
[15CH3]C(=O)c1nc2ccccc2s1	EN300-00881
[15CH3]C(=O)c1cc(Cl)nc(Cl)n1	EN300-00915
[15CH3]C(=O)c1ccc2nc(N)sc2c1	EN300-00921
Cc1cc(C([15CH3])=O)c2ccccc2n1	EN300-00923
[15CH3]C(=O)c1ncc(Cl)c(Cl)c1Cl	EN300-00925
CC(=O)Nc1sc(C)c(C)c1C([15CH3])=O	EN300-00926
[15CH3]C(=O)c1ccc2ncsc2c1	EN300-00928
[15CH3]C(=O)c1ccc(F)c(S(=O)(=O)Cl)c1	EN300-01833
Cc1ccc(C([15CH3])=O)cc1S(=O)(=O)Cl	EN300-01836
Cc1ccc(S(=O)(=O)Cl)cc1C([15CH3])=O	EN300-01837
[15CH3]C(=O)c1cc(F)cc(S(=O)(=O)Cl)c1	EN300-01841
Cc1cc(C([15CH3])=O)cc(S(=O)(=O)Cl)c1	EN300-01846
Cc1ccc(C(=O)NCC([15CH3])=O)cc1	EN300-03936
Cn1ccnc1C([15CH3])=O	EN300-04016
Cc1ccc(C(=O)NCC([15CH3])=O)s1	EN300-04021
CC(=O)NCCC([15CH3])=O	EN300-04073
CC(C)C(C([15CH3])=O)c1ccc(Cl)cc1	EN300-04178
CC(C)CC(NC(N)=O)C([15CH3])=O	EN300-04201
CC(NC(=O)c1ccco1)C([15CH3])=O	EN300-04294
CCC(C)C(NC(N)=O)C([15CH3])=O	EN300-04327
CC(C)COc1ccc(C([15CH3])=O)cc1	EN300-04349
CC(C)C(NC(N)=O)C([15CH3])=O	EN300-04356
Cc1ccc(NCCC([15CH3])=O)cc1	EN300-04364
[15CH3]C(=O)CS(=O)(=O)c1ccc(Cl)cc1	EN300-04476
[15CH3]C(=O)CC(N)c1ccccc1Cl	EN300-04486
[15CH3]C(=O)c1cccc(S(N)(=O)=O)c1	EN300-04520
[15CH3]C(=O)C1CCCN1C(N)=O	EN300-04570
[15CH3]C(=O)c1ccc(=O)[nH]n1	EN300-04614
Cc1ccccc1SCC([15CH3])=O	EN300-04663
[15CH3]C(=O)C1CC(O)CN1C(N)=O	EN300-04674
[15CH3]C(=O)CCC(=O)c1ccc(Cl)s1	EN300-04754
Cc1cc(C)cc(NCCC([15CH3])=O)c1	EN300-04820
Cc1ccccc1NCCC([15CH3])=O	EN300-04832
Cc1c(C([15CH3])=O)oc2c(Cl)cccc12	EN300-04920
[15CH3]C(=O)CCNc1ccccc1	EN300-04934
[15CH3]C(=O)CC(N)c1cccc(Br)c1	EN300-04944
[15CH3]C(=O)CCOc1cccc(Br)c1	EN300-05169
CCCC(C([15CH3])=O)c1ccccc1	EN300-05233
[15CH3]C(=O)CCC(=O)N1CCOCC1	EN300-05277
[15CH3]C(=O)c1ccc(NC(N)=O)cc1	EN300-05282
[15CH3]C(=O)COc1ccc2c(c1)CCC2	EN300-05329
Cc1cc(C)c(OCC([15CH3])=O)c(C)c1	EN300-05332
Cc1ccc(Cl)c(OCC([15CH3])=O)c1	EN300-05333
Cc1ccc(C([15CH3])=O)o1	EN300-05385
CS(=O)(=O)Nc1cccc(C([15CH3])=O)c1	EN300-05441
COc1cc(C([15CH3])=O)cc(Br)c1O	EN300-05459
Cc1cc(Cl)cc(C)c1OCC([15CH3])=O	EN300-05517
[15CH3]C(=O)c1cc(S(=O)(=O)Cl)ccc1O	EN300-05542
CCc1cccc(OCC([15CH3])=O)c1	EN300-05667
[15CH3]C(=O)CNC(=O)c1ccc(Br)o1	EN300-05680
[15CH3]C(=O)Cc1ccc2c(c1)OCCO2	EN300-05691
[15CH3]C(=O)c1cc2c(s1)CCCC2	EN300-05709
[15CH3]C(=O)c1c(Cl)nc2ccccn12	EN300-05710
[15CH3]C(=O)CC(N)c1ccc(F)cc1	EN300-05783
Cn1nc(C([15CH3])=O)ccc1=O	EN300-05798
Cc1c(C([15CH3])=O)sc2nc[nH]c(=O)c12	EN300-05849
CCCCC1CCC(C([15CH3])=O)CC1	EN300-05857
[15CH3]C(=O)CCNC(=O)c1ccccc1	EN300-05873
Cc1ccc(OC(C)C([15CH3])=O)cc1	EN300-05922
Cc1cccc(OC(C)C([15CH3])=O)c1	EN300-05963
[15CH3]C(=O)CNS(=O)(=O)c1ccccc1	EN300-06046
[15CH3]C(=O)c1ccc(O)cc1O	EN300-06121
Cc1ccc2c(CC([15CH3])=O)coc2c1	EN300-06203
[15CH3]C(=O)COc1ccc(F)cc1Br	EN300-06212
[15CH3]C(=O)CSc1ccc(Br)cc1	EN300-06247
COc1cc(C)ccc1OCC([15CH3])=O	EN300-06280
[15CH3]C(=O)COc1ccc(Br)cc1F	EN300-06283
CC(C)c1ccccc1OCC([15CH3])=O	EN300-06288
Cc1ccc(CC([15CH3])=O)cc1C	EN300-06309
Cc1cccc(C)c1OCC([15CH3])=O	EN300-06394
[15CH3]C(=O)COc1c(Cl)cccc1Cl	EN300-06534
[15CH3]C(=O)Cn1cncn1	EN300-06654
Cc1noc(C)c1C([15CH3])=O	EN300-06687
[15CH3]C(=O)CCc1ccccc1Cl	EN300-06750
[15CH3]C(=O)CCc1cccc(Br)c1	EN300-06752
[15CH3]C(=O)c1ccno1	EN300-06774
Cc1nc(CC([15CH3])=O)cs1	EN300-06807
[15CH3]C(=O)c1ccccc1CC#N	EN300-06835
[15CH3]C(=O)c1ccccc1OC(F)F	EN300-06879
CC(Sc1ccc(Cl)cc1)C([15CH3])=O	EN300-07064
[15CH3]C(=O)CCC(CN)C(F)(F)F	EN300-07164
Cc1nc2ccccc2cc1C([15CH3])=O	EN300-07174
[15CH3]C(=O)c1cc(Cl)c(O)c(Cl)c1	EN300-07242
[15CH3]C(=O)CCCc1cccs1	EN300-07300
[15CH3]C(=O)Cn1ccc(C(F)(F)F)n1	EN300-07344
[15CH3]C(=O)Cn1ccsc1=N	EN300-07365
CCc1sc(C([15CH3])=O)cc1C	EN300-07617
[15CH3]C(=O)CNC(=O)Cc1ccccc1	EN300-07676
[15CH3]C(=O)CSc1ccccc1Cl	EN300-07701
Cc1ccc(SCC([15CH3])=O)cc1	EN300-07702
Cc1ccc(SCC([15CH3])=O)cc1C	EN300-07703
Cc1ccc(SCC([15CH3])=O)c(C)c1	EN300-07704
[15CH3]C(=O)CSc1ccccc1F	EN300-07706
CCOc1cc(C([15CH3])=O)cc(Cl)c1O	EN300-07783
CSCC([15CH3])=O	EN300-07879
[15CH3]C(=O)CSc1c(Cl)cccc1Cl	EN300-07881
Cc1ccc(S(=O)(=O)CC([15CH3])=O)cc1	EN300-07944
[15CH3]C(=O)Cc1coc2ccccc12	EN300-08022
[15CH3]C(=O)c1c[nH]c(=O)[nH]1	EN300-08023
CC(Oc1ccc(Cl)cc1)C([15CH3])=O	EN300-08066
[15CH3]C(=O)COc1ccc(Br)cc1	EN300-08078
[15CH3]C(=O)CNC(=O)c1ccco1	EN300-08091
[15CH3]C(=O)c1ccc2c(c1)NC(=O)CS2	EN300-08179
Cc1ccc(C(N)CC([15CH3])=O)cc1	EN300-08351
[15CH3]C(=O)CCNC(=O)c1ccco1	EN300-08407
CC12CCC(=O)N1C(C([15CH3])=O)CS2	EN300-08535
COC(=O)c1c(C)[nH]c(C([15CH3])=O)c1C	EN300-08614
[15CH3]C(=O)CSc1nc2ccccc2o1	EN300-08639
CCn1ccnc1C([15CH3])=O	EN300-08842
[15CH3]C(=O)c1cc2c(s1)CCCCCC2	EN300-08843
CCCc1sc(C([15CH3])=O)cc1CC	EN300-08853
Cc1[nH]c2ccc(C([15CH3])=O)cc2c1C	EN300-08907
Cc1noc(C)c1CSCC([15CH3])=O	EN300-09058
COc1cc(C([15CH3])=O)cc(Cl)c1OC	EN300-09075
[15CH3]C(=O)CSCc1ccc(F)cc1	EN300-09082
Cc1cccc(CSCC([15CH3])=O)c1	EN300-09087
CCC1CCc2sc(C([15CH3])=O)cc2C1	EN300-09156
CCCCn1nc(C([15CH3])=O)ccc1=O	EN300-09268
Cc1cc(C(=O)CCC([15CH3])=O)c(C)s1	EN300-09327
[15CH3]C(=O)Cn1c(=O)oc2ccccc21	EN300-09332
CCCn1nc(C([15CH3])=O)ccc1=O	EN300-09334
Cc1ccccc1C(=O)NCC([15CH3])=O	EN300-09391
[15CH3]C(=O)CSCC(=O)N1CCOCC1	EN300-09402
[15CH3]C(=O)c1ccc2[nH]nnc2c1	EN300-09511
CCn1nnc2cc(C([15CH3])=O)ccc21	EN300-09521
[15CH3]C(=O)CSCc1cccc(Cl)c1	EN300-09651
Cc1ccc(CSCC([15CH3])=O)cc1	EN300-09652
[15CH3]C(=O)CSCc1ccc(Cl)cc1	EN300-09653
[15CH3]C(=O)Cc1coc2cc(O)ccc12	EN300-09670
CCOc1ccc(C([15CH3])=O)cc1OC	EN300-09733
CCCc1cc(C([15CH3])=O)sc1C	EN300-09792
[15CH3]C(=O)c1cc(S(=O)(=O)Cl)ccc1F	EN300-09860
[15CH3]C(=O)CSCC(=O)N1CCCCC1	EN300-09909
[15CH3]C(=O)Cc1cccc(C#N)c1	EN300-100008
Cc1c(C([15CH3])=O)cnc2ccccc12	EN300-100020
[15CH3]C(=O)c1ccc2nc(N)ccc2c1	EN300-10004809
[15CH3]C(=O)C(N)Cc1ccc(F)cc1Cl	EN300-10006159
[15CH3]C(=O)C(N)Cc1cc(Cl)ccc1Cl	EN300-10006160
[15CH3]C(=O)C(N)Cc1c(F)cccc1Cl	EN300-10006162
[15CH3]C(=O)C(N)Cc1ccc(Cl)c(Cl)c1	EN300-10006180
[15CH3]C(=O)[C@@H](N)C(F)(F)c1ccccc1	EN300-10006302
COC(C)c1nc(CC([15CH3])=O)cs1	EN300-100066
COC(C)c1nc(C)c(C([15CH3])=O)s1	EN300-100067
COC(=O)c1cc(C([15CH3])=O)ccn1	EN300-100069
COc1cc(Cl)c(Cl)cc1C([15CH3])=O	EN300-100087
[15CH3]C(=O)C(O)[C@@H](N)Cc1ccccc1	EN300-10009059
Cc1ccc(CC(N)C([15CH3])=O)c(C)c1	EN300-10012193
[15CH3]C(=O)c1ccnc(C#N)c1	EN300-100131
[15CH3]C(=O)[C@H](O)c1ccccc1	EN300-100159
[15CH3]C(=O)CC(O)c1ccc(Cl)cc1	EN300-100179
CC(=O)N1CCC(C([15CH3])=O)C1	EN300-100180
[15CH3]C(=O)c1ccc2ocnc2c1	EN300-100217
Cc1cc(C([15CH3])=O)cc(C)c1C	EN300-100220
[15CH3]C(=O)c1sccc1Cl	EN300-100229
Cc1cc(Cl)cc(C([15CH3])=O)c1	EN300-100234
CC(C)c1ncc(C([15CH3])=O)s1	EN300-100262
CC[C@H](C)C([15CH3])=O	EN300-100264
Cc1ccc2sc(C([15CH3])=O)c(F)c2c1	EN300-100327
Cc1ccc2sc(C([15CH3])=O)cc2c1	EN300-100328
Cc1c(C([15CH3])=O)[nH]c2ccc(Cl)cc12	EN300-100360
Cc1c(C([15CH3])=O)[nH]c2ccc(F)cc12	EN300-100364
[15CH3]C(=O)c1cc2ccccc2cc1Cl	EN300-100373
CC(C)C(C([15CH3])=O)c1cccc(Cl)c1	EN300-100395
CCC(Oc1cccc(C)c1)C([15CH3])=O	EN300-100419
COC(C)c1ncc(C([15CH3])=O)s1	EN300-100438
[15CH3]C(=O)c1ccc(-c2cccs2)cc1	EN300-100457
[15CH3]C(=O)Cn1ccnn1	EN300-100467
CC1(C([15CH3])=O)CCC1	EN300-100478
CC[C@@H](C)C([15CH3])=O	EN300-100504
Cc1ccc(CN(C)CC([15CH3])=O)cc1	EN300-10053225
CN(CC([15CH3])=O)Cc1cccc(Cl)c1	EN300-10053562
CN(CC([15CH3])=O)Cc1ccccc1Cl	EN300-10053565
CN(CC([15CH3])=O)Cc1ccccc1F	EN300-10053566
COc1ccc2oc(C([15CH3])=O)cc2c1	EN300-100582
Cc1cc(COCC([15CH3])=O)on1	EN300-100586
COCC(C)(N)C([15CH3])=O	EN300-100589
[15CH3]C(=O)CCC1CCC1	EN300-100591
CC1c2ccccc2CC1C([15CH3])=O	EN300-100609
[15CH3]C(=O)Cc1ccc(F)cc1F	EN300-100639
[15CH3]C(=O)Cc1ccc(F)c(F)c1	EN300-100640
CCOC(=O)C1(CC([15CH3])=O)CCC1	EN300-100641
[15CH3]C(=O)Cc1c(F)cccc1F	EN300-100653
[15CH3]C(=O)Cc1cccc(F)c1F	EN300-100654
Cc1cccc(CC([15CH3])=O)c1C	EN300-100657
