smiles,ID
COc1cc2ccccc2cc1C(O)=O,EN300-00001
OC(=O)c1cccc2C(=O)c3ccccc3C(=O)c12,EN300-00002
Cc1nn(-c2ccccc2)c2sc(cc12)C(O)=O,EN300-00003
Cc1nn(-c2ccc(Cl)cc2)c2sc(cc12)C(O)=O,EN300-00005
Cc1nn(-c2ccccc2Cl)c2sc(cc12)C(O)=O,EN300-00006
Cc1ccc(C)c(SCC(O)=O)c1,EN300-00008
OC(=O)CSc1cc(Cl)ccc1Cl,EN300-00009
OC(=O)CSc1cccc2cccc(Cl)c12,EN300-00010
Cc1cc(SCC(O)=O)c(C)cc1Br,EN300-00011
OC(=O)CSc1ccc2ccccc2c1Br,EN300-00012
OC(=O)COc1ccccc1N(=O)=O,EN300-00013
OC(=O)COc1ccccc1F,EN300-00014
OC(=O)COc1cccc(Br)c1,EN300-00015
CC(C)c1ccc(C)cc1OCC(O)=O,EN300-00016
Cc1cccc(OCC(O)=O)c1,EN300-00017
COc1cc(ccc1OC(F)F)C(O)=O,EN300-00026
OC(=O)C1CCN(CC1)c1ccc(cn1)C(F)(F)F,EN300-00029
OC(=O)c1cccc(OC(F)F)c1,EN300-00032
OC(=O)c1ccc(OC(F)F)cc1,EN300-00033
OC(=O)c1ccc(N2CCOCC2)c(c1)N(=O)=O,EN300-00037
OC(=O)c1ccc(N2CCCCCC2)c(c1)N(=O)=O,EN300-00038
OC(=O)c1ccc(N2CCCCC2)c(c1)N(=O)=O,EN300-00039
OC(=O)c1ccc(N2CCCC2)c(c1)N(=O)=O,EN300-00040
OC(=O)COc1ccc(cc1)C(=O)c1ccccc1,EN300-00041
OC(=O)c1ccc(Cl)c(NC(=O)c2cccs2)c1,EN300-00042
Cc1cccc(OCCC(O)=O)c1,EN300-00043
Cc1ccc(OCCC(O)=O)cc1,EN300-00044
CC1CCN(CC1)c1ccc(cc1N(=O)=O)C(O)=O,EN300-00045
CC1CCCN(C1)c1ccc(cc1N(=O)=O)C(O)=O,EN300-00046
Cc1ccc(SCCC(O)=O)cc1,EN300-00047
OC(=O)CCSc1ccccc1Cl,EN300-00048
OC(=O)c1ccccc1OCc1ccc(Cl)cc1,EN300-00050
OC(=O)c1ccccc1OCc1ccc(Cl)cc1Cl,EN300-00051
OC(=O)c1ccccc1OCc1ccccc1Cl,EN300-00052
OC(=O)CCSc1ccccc1,EN300-00053
OC(=O)c1ccccc1OCc1ccccc1,EN300-00056
CC(=O)Oc1ccc(cc1)-c1ccc(cc1)C(O)=O,EN300-00057
Cc1cc(Br)ccc1SCC(O)=O,EN300-00059
OC(=O)C12CC3CC(CC(Br)(C3)C1)C2,EN300-00060
OC(=O)c1ccc(CSc2ccc(Cl)cc2)cc1,EN300-00062
OC(=O)COc1ccccc1O,EN300-00063
OC(=O)CCS(=O)(=O)c1ccc(Cl)cc1,EN300-00068
OC(=O)c1ccccc1OCc1ccc(F)cc1,EN300-00069
Cc1cc(C)cc(OCC(O)=O)c1,EN300-00070
OC(=O)COc1cccc(c1)C(F)(F)F,EN300-00071
COc1ccccc1OCC(O)=O,EN300-00072
OC(=O)COc1cccc(F)c1,EN300-00073
OC(=O)COc1ccccc1-c1ccccc1,EN300-00074
OC(=O)c1ccccc1OCCOc1ccccc1,EN300-00075
OC(=O)CCSc1ccc(Cl)cc1,EN300-00076
COc1ccc(OCCC(O)=O)cc1,EN300-00079
Cc1ccccc1OCCC(O)=O,EN300-00080
OC(=O)COc1ccc(cc1)-c1ccccc1,EN300-00081
Cc1cc(=O)oc2cc(OCC(O)=O)ccc12,EN300-00082
OC(=O)CC12CC3CC(CC(C3)C1)C2,EN300-00083
OC(=O)c1cc(F)c(F)c(F)c1F,EN300-00084
OC(=O)CCC(=O)c1cccs1,EN300-00085
OC(=O)COc1ccc(cc1)C#N,EN300-00087
Nc1nnc(SCC(O)=O)s1,EN300-00088
OC(=O)CNC(=O)c1cccc(c1)N(=O)=O,EN300-00089
OC(=O)CNC(=O)c1ccccc1F,EN300-00090
OC(=O)CNC(=O)c1ccc(Cl)cc1Cl,EN300-00091
OC(=O)C12CC3CC(CC(Cl)(C3)C1)C2,EN300-00092
CCOc1ccccc1OCC(O)=O,EN300-00094
Cn1cnnc1Sc1ccc(cc1N(=O)=O)C(O)=O,EN300-00095
OC(=O)COc1ccccc1C#N,EN300-00096
Cc1ccc(cc1NC(=O)c1ccco1)C(O)=O,EN300-00098
OC(=O)CNC(=O)c1ccccc1Cl,EN300-00101
OC(=O)CCOc1ccccc1F,EN300-00103
CCC(=O)c1ccc(OCC(O)=O)cc1,EN300-00104
CCc1ccccc1OCC(O)=O,EN300-00107
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(O)=O,EN300-00112
Cc1cc(OCC(O)=O)ccc1Cl,EN300-00114
OC(=O)CC12CC3CC(CC(Br)(C3)C1)C2,EN300-00116
CC(C)(C)c1ccc(OCC(O)=O)cc1,EN300-00118
CSCCC(N1C(=O)c2ccccc2C1=O)C(O)=O,EN300-00119
CC(C)(C)c1ccc(OCCC(O)=O)cc1,EN300-00120
COc1ccccc1OCCC(O)=O,EN300-00121
Cc1ccc(C)c(OCCC(O)=O)c1,EN300-00123
CCOc1ccccc1OCCC(O)=O,EN300-00124
CCOc1ccc(OCCC(O)=O)cc1,EN300-00125
OC(=O)COc1ccccc1Cc1ccccc1,EN300-00126
OC(=O)c1ccc2OCCOc2c1,EN300-00127
OC(=O)c1ccc(OC(F)F)cc1OC(F)F,EN300-00129
OC(=O)C1CC1(Cl)Cl,EN300-00130
OC(=O)C1CC2CCCC(C1)C2=O,EN300-00132
OC(=O)C1CC2CCCC(C1)C21SCCS1,EN300-00133
OC(=O)C1C(C(O)=O)C1=C,EN300-00134
OC(=O)C1COc2ccccc2O1,EN300-00140
OC(=O)c1cccc(c1)N1C(=O)CCC1=O,EN300-00143
OC(=O)CC1(CC(=O)N2CCOCC2)CCCC1,EN300-00144
OC(=O)c1ccc(NC(=O)CCl)cc1,EN300-00147
OC(=O)CC12CC3CC(C1)CC(CC(O)=O)(C3)C2,EN300-00148
COc1ccc(CCNC(=O)CSCC(O)=O)cc1,EN300-00149
OC(=O)CCCN1C(=O)c2ccccc2C1=O,EN300-00150
OC(=O)C1CCCN1C=CC(=O)C(F)(F)F,EN300-00152
COc1ccc(cc1N(=O)=O)C(=O)NCC(O)=O,EN300-00153
OC(=O)CNC(=O)c1ccc(Br)cc1,EN300-00154
OC(=O)CNC(=O)c1cccc(Cl)c1,EN300-00155
Cc1ccc(NCC(O)=O)cc1,EN300-00158
CC(C)C(NC(=O)c1ccccc1)C(O)=O,EN300-00159
OC(=O)C1CCN(CC1)C=CC(=O)C(F)(F)F,EN300-00160
OC(=O)C12CC3CC(C1)CC(C3)(C2)c1ccccc1,EN300-00163
CC(C)CC(N1C(=O)c2ccccc2C1=O)C(O)=O,EN300-00164
OC(=O)c1ccccc1NC=CC(=O)C(F)(F)F,EN300-00165
Cc1c(CCl)cc(cc1CCl)C(O)=O,EN300-00166
Cc1cc(C)cc(c1)C(=O)NCC(O)=O,EN300-00167
CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(O)=O,EN300-00168
OC(=O)CNC(=O)C1CCCCC1,EN300-00169
CCOc1ccccc1C(=O)NCC(O)=O,EN300-00170
OC(=O)CNC(=O)c1cccs1,EN300-00171
OC(=O)c1ccc(COc2ccc(Cl)cc2)cc1,EN300-00172
OC(=O)CNC(=O)c1cccc(F)c1,EN300-00173
OC(=O)c1ccc(NC(=O)CC#N)cc1,EN300-00174
CCOc1ccc(cc1OCC)C(=O)NCC(O)=O,EN300-00175
NC(=O)CCC(NC(=O)c1ccc(Cl)cc1)C(O)=O,EN300-00178
CC(=O)Oc1ccc(cc1)-c1cccc(c1)C(O)=O,EN300-00181
OC(=O)CNC(=O)c1cccc(OC(F)F)c1,EN300-00182
COc1ccc(CC(O)=O)c(c1)C(O)=O,EN300-00183
OC(=O)CNC(=O)c1ccc(Cl)cc1,EN300-00184
CC(NC(=O)c1ccc(Cl)cc1)C(O)=O,EN300-00185
CSCCC(NC(=O)c1ccc(Cl)cc1)C(O)=O,EN300-00186
OC(=O)CCCNC(=O)c1ccc(Cl)cc1,EN300-00187
OC(=O)CN1C(=O)C2CCCCC2C1=O,EN300-00188
CCC(C)C(NC(=O)c1ccc(Cl)cc1)C(O)=O,EN300-00189
COc1cc(N2C(=O)c3ccccc3C2=O)c(Cl)cc1C(O)=O,EN300-00190
OC(=O)CCN1C(=O)c2cccc(c2C1=O)N(=O)=O,EN300-00191
OC(=O)CN(CC(O)=O)C=CC(=O)C(F)(F)F,EN300-00194
Cc1cc(ccc1N(=O)=O)C(=O)NCC(O)=O,EN300-00195
OC(=O)CNC(=O)c1ccc(F)cc1,EN300-00196
OC(=O)CCN1C(=O)C2CCCCC2C1=O,EN300-00197
OC(=O)CCN1C(=O)C2CC=CCC2C1=O,EN300-00198
CC(C)CC(N1C(=O)C2CC=CCC2C1=O)C(O)=O,EN300-00199
CSCC(N1C(=O)C2CCCCC2C1=O)C(O)=O,EN300-00200
CC(C)C(NC(=O)c1ccc(Cl)cc1)C(O)=O,EN300-00203
CC(C)CC(NC(=O)c1ccc(Cl)cc1)C(O)=O,EN300-00204
OCCNc1ccccc1C(O)=O,EN300-00207
CCOc1ccc(cc1)C(=O)NCC(O)=O,EN300-00213
OC(=O)CNC(=O)C12CC3CC(CC(C3)C1)C2,EN300-00222
CC(C)C(NC(=O)c1ccc(C)cc1)C(O)=O,EN300-00223
CCOc1ccc(OCCCC(O)=O)cc1,EN300-00225
OC(=O)CCCSc1nc2ccccc2s1,EN300-00226
