smiles,ID,rb,mw,heavy,chiral,hba,hbd,het_count,rings,rac,clogp,qed,rb_MPO,mw_MPO,heavy_MPO,het_count_MPO,hba_MPO,hbd_MPO,rac_MPO,rings_MPO,MPO
Cc1ccc(C)c(SCC(O)=O)c1,EN300-00008,3.0,196.271,13.0,0.0,2.0,1.0,3.0,1.0,0.0,2.4801400000000005,0.7545200983128841,0.7,0.4322041666666667,0.4666666666666667,0.5,1.0,1.0,1.0,1.0,0.2589563725490196
OC(=O)CSc1cc(Cl)ccc1Cl,EN300-00009,3.0,237.107,13.0,0.0,2.0,1.0,5.0,1.0,0.0,3.1701000000000006,0.8200774125917945,0.7,0.2620541666666667,0.4666666666666667,0.0,1.0,1.0,1.0,1.0,0.3377975490196078
OC(=O)COc1ccccc1F,EN300-00014,3.0,170.13899999999998,12.0,0.0,2.0,1.0,4.0,1.0,0.0,1.2891000000000001,0.7429395267835598,0.7,0.5410875000000002,0.5333333333333333,0.0,1.0,1.0,1.0,1.0,0.2971269607843138
OC(=O)COc1cccc(Br)c1,EN300-00015,3.0,231.045,12.0,0.0,2.0,1.0,4.0,1.0,0.0,1.9125,0.86364006003178,0.7,0.2873125000000001,0.5333333333333333,0.0,1.0,1.0,1.0,1.0,0.3269828431372549
Cc1cccc(OCC(O)=O)c1,EN300-00017,3.0,166.17600000000002,12.0,0.0,2.0,1.0,3.0,1.0,0.0,1.4584199999999998,0.7389167051476304,0.7,0.5575999999999999,0.5333333333333333,0.5,1.0,1.0,1.0,1.0,0.23636078431372554
OC(=O)c1cccc(OC(F)F)c1,EN300-00032,3.0,188.12899999999996,13.0,0.0,2.0,1.0,5.0,1.0,0.0,1.9862,0.7883623181689798,0.7,0.4661291666666668,0.4666666666666667,0.0,1.0,1.0,1.0,1.0,0.313788725490196
OC(=O)c1ccc(OC(F)F)cc1,EN300-00033,3.0,188.12899999999996,13.0,0.0,2.0,1.0,5.0,1.0,0.0,1.9862,0.7883623181689798,0.7,0.4661291666666668,0.4666666666666667,0.0,1.0,1.0,1.0,1.0,0.313788725490196
Cc1cccc(OCCC(O)=O)c1,EN300-00043,4.0,180.203,13.0,0.0,2.0,1.0,3.0,1.0,0.0,1.8485199999999997,0.7686572534014612,0.6,0.4991541666666667,0.4666666666666667,0.5,1.0,1.0,1.0,1.0,0.27460931372549024
Cc1ccc(OCCC(O)=O)cc1,EN300-00044,4.0,180.20300000000003,13.0,0.0,2.0,1.0,3.0,1.0,0.0,1.84852,0.7686572534014613,0.6,0.49915416666666657,0.4666666666666667,0.5,1.0,1.0,1.0,1.0,0.27460931372549024
Cc1ccc(SCCC(O)=O)cc1,EN300-00047,4.0,196.27100000000002,13.0,0.0,2.0,1.0,3.0,1.0,0.0,2.561820000000001,0.7518790828143069,0.6,0.4322041666666666,0.4666666666666667,0.5,1.0,1.0,1.0,1.0,0.2824857843137255
OC(=O)CCSc1ccccc1Cl,EN300-00048,4.0,216.68900000000002,13.0,0.0,2.0,1.0,4.0,1.0,0.0,2.9068000000000014,0.7868500566671656,0.6,0.3471291666666666,0.4666666666666667,0.0,1.0,1.0,1.0,1.0,0.351318137254902
OC(=O)CCSc1ccccc1,EN300-00053,4.0,182.24400000000003,12.0,0.0,2.0,1.0,3.0,1.0,0.0,2.2534,0.7255457316066288,0.6,0.4906499999999999,0.5333333333333333,0.5,1.0,1.0,1.0,1.0,0.2677666666666667
